Role, Company Name, Skills, Link To Site
 with generous benefi...,"EIS Wire and Cable2.0South Hadley, MA 01075"
Entry-Level Applications Engineer,"Tech180Easthampton, MA 01027"
Manufacturing Engineering Manager,"ConfidentialWindsor Locks, CT 06096"
newAssociate Engineer,"EVERSOURCE3.6South Hadley, MA+2 locations"
newField Technician C,"EVERSOURCE3.6South Hadley, MA+1 location"
Engineering Co-op (Summer/Fall 2022),"Collins Aerospace3.7Windsor Locks, CT 06096"
Mechanical Engineer,"CRRC MA1.4Springfield, MA 01104 (East Springfield area)"
newMechanical Engineer,"Summit Careers Inc3.6East Longmeadow, MA"
newProcess Engineer,"Sonoco3.6Holyoke, MA"
Utility Locator (Engineering Aid A or B),"Holyoke Gas & ElectricHolyoke, MA 01040"
newProcess Improvement Engineer,"E Ink4.4South Hadley, MA"
DER Planning Associate Engineer,"EVERSOURCE3.6South Hadley, MA+1 location"
Manufacturing Engineer,"Bay State Machine CompanyEasthampton, MA 01027"
"Manager, Manufacturng Engrg","L3Harris Technologies3.7Northampton, MA"
Engineering Technologist,"Eastman3.7Springfield, MA 01151"
